,,,,,,,,,,,,,,,
,,0.22,24.00,,,0.32,139.00,0.22,206.00,,,0.32,67.00,,
,,0.24,3.00,,,0.34,84.00,0.24,175.00,,,0.34,18.00,,
,,0.26,4.00,,,0.36,56.00,0.26,126.00,,,0.36,17.00,,
,,0.28,11.00,,,0.38,17.00,0.28,114.00,,,0.38,5.00,,
,,0.30,22.00,,,0.40,21.00,0.30,194.00,,,0.40,6.00,,
,,0.32,110.00,,,0.42,74.00,0.32,145.00,,,0.42,8.00,,
,,0.34,50.00,,,0.44,20.00,0.34,25.00,,,0.44,4.00,,
,,0.36,131.00,,,0.46,12.00,0.36,20.00,,,0.46,0.00,,
,,0.38,70.00,,,0.48,0.00,0.38,10.00,,,0.48,0.00,,
,,0.40,324.00,,,,,0.40,19.00,,,,,,
,,0.42,2301.00,,,,,0.42,48.00,,,,,,
,,0.44,2040.00,,,,,0.44,19.00,,,,,,
,,0.46,1096.00,,,,,0.46,12.00,,,,,,
,,0.48,706.00,,,,,0.48,19.00,,,,,,
,,0.50,283.00,,,,,0.50,13.00,,,,,,
,,0.52,158.00,,,,,0.52,0.00,,,,,,
,,0.54,39.00,,,,,0.54,0.00,,,,,,
,,0.56,0.00,,,,,0.56,0.00,,,,,,
,,0.58,0.00,,,,,0.58,0.00,,,,,,
